dataset,hvg,contrast,n_conditions,n_complete_3seed,min_common_seeds,median_common_seeds,mean_delta_r,median_delta_r,ci95_low,ci95_high,paired_cohens_d,t_stat,t_p,wilcoxon_stat,wilcoxon_p,fraction_positive,wilcoxon_bh_primary_family
replogle_k562,500,string_ppi - no_graph,50,0,2,2.0,-0.003263082569465041,0.0011711493134498596,-0.009543218752369284,0.0020302736191079008,-0.15418501532288462,-1.0902526989216343,0.28093440958615823,617.0,0.8482444441392172,0.54,0.9517747310574822
replogle_k562,500,gene_ontology - no_graph,50,10,2,2.0,-0.0022371447924524547,0.0011380314826965332,-0.008218693676947926,0.0024884647626119295,-0.11517454093682399,-0.8144069891647586,0.41935233045175185,624.0,0.9010179923007229,0.54,0.9517747310574822
replogle_k562,500,random - no_graph,50,50,3,3.0,-0.015211120570699375,-0.002697671453158061,-0.027350031094625592,-0.004471267488319435,-0.36302246299404906,-2.566956453061346,0.013364385056878618,400.0,0.02122367163684835,0.38,
replogle_k562,500,combined - random,50,50,3,3.0,0.009093460626900196,0.0025560011466344195,-0.0020479802641396715,0.02135063574959833,0.21206514535325346,1.4995270233259639,0.1401528744966075,367.0,0.008333363871146915,0.7,
replogle_k562,500,string_ppi - random,50,0,2,2.0,0.009932056544348597,0.0005399659276008606,-0.004708827660419046,0.027414682027418143,0.17037082368815487,1.20470364746232,0.2341042577496114,485.0,0.14333259515310637,0.56,
replogle_k562,500,gene_ontology - random,50,10,2,2.0,0.012933896879355113,0.0033789966255426407,0.003071676374568293,0.02412184290184326,0.3397785748500461,2.4025973437836843,0.0201122398418453,332.0,0.0027053239960554976,0.66,
replogle_k562,1000,combined - no_graph,50,50,3,3.0,-0.00014857885738213836,6.099541982014983e-06,-0.004226686034972468,0.0035656629397223384,-0.010390207274403178,-0.07346986021664283,0.9417313281283037,620.0,0.8707939059443142,0.5,0.9517747310574822
replogle_k562,1000,string_ppi - no_graph,50,50,3,3.0,-0.0003301250127454601,0.00033995633323987323,-0.003954399868225058,0.002914676043360177,-0.026406684737823944,-0.18672345846770622,0.8526484212539774,603.0,0.7448958960780061,0.52,0.907510621959727
replogle_k562,1000,gene_ontology - no_graph,50,50,3,3.0,0.00041111176212628686,0.0005391091108322144,-0.0025214017964899534,0.0032000867892056683,0.0399579960785471,0.2825456998976613,0.7787152233197561,586.0,0.6253677971440439,0.52,0.907510621959727
replogle_k562,1000,random - no_graph,50,50,3,3.0,-0.12823238506913184,-0.08605325470368066,-0.17253602629806847,-0.08782105155708272,-0.8205744925231683,-5.802337881318422,4.711906653270377e-07,112.0,2.434094703573919e-08,0.18,
replogle_k562,1000,combined - random,50,50,3,3.0,0.12808380621174972,0.07903794944286346,0.08634423545002937,0.1734409253016735,0.804592237939344,5.689326275369703,7.020122934094581e-07,114.0,2.8573925447972215e-08,0.76,
replogle_k562,1000,string_ppi - random,50,50,3,3.0,0.1279022600563864,0.08260147770245871,0.08603443049065147,0.17318189656594768,0.8149445055909222,5.762527861940594,5.423080333398036e-07,113.0,2.6378053519238165e-08,0.78,
replogle_k562,1000,gene_ontology - random,50,50,3,3.0,0.12864349683125811,0.0827283983429273,0.08729708343651146,0.17423375914975378,0.8179420976439578,5.783724038619917,5.032091677137882e-07,113.0,2.6378053519238165e-08,0.78,
replogle_rpe1,200,combined - no_graph,50,0,2,2.0,0.003837559167295694,0.0002657175064086914,-0.0033453351175412533,0.014391242181882256,0.11554308317027073,0.8170129762889968,0.41787576065195936,578.0,0.5720861414815896,0.52,0.907510621959727
replogle_rpe1,200,string_ppi - no_graph,50,0,2,2.0,0.005519057204946875,7.006525993347168e-05,-0.0020503767668269574,0.018311208941275234,0.13754318856241232,0.9725772133850176,0.33554032130769085,607.0,0.7740531775538848,0.52,0.907510621959727
replogle_rpe1,200,gene_ontology - no_graph,50,0,1,1.0,0.00028920017182826997,-0.0006341934204101562,-0.004150824960321188,0.004661208918318147,0.017935379508503782,0.1268222847361727,0.8996000571301747,627.0,0.9237813566146151,0.48,0.9517747310574822
replogle_rpe1,200,random - no_graph,50,0,2,2.0,0.0010017111711204051,-0.0005408190190792084,-0.0067516989035066215,0.009251444961410012,0.03457889870900954,0.24450973763103404,0.8078570696796934,612.0,0.8109402812359416,0.46,
replogle_rpe1,200,combined - random,50,0,2,2.0,0.0028358479961752892,0.003011224791407585,-0.006318638631841168,0.013512502289144319,0.07765748037763412,0.5491213098488633,0.5854160511315116,561.0,0.46647302992520423,0.54,
replogle_rpe1,200,string_ppi - random,50,0,2,2.0,0.0045173460338264705,0.0006833449006080627,-0.005566777767380699,0.017668309410801154,0.10499424752412685,0.7424214440988899,0.46137635318084663,563.0,0.47831983611594175,0.5,
replogle_rpe1,200,gene_ontology - random,50,0,1,1.0,-0.002210002485662699,0.0020398497581481934,-0.00833130058180541,0.003505151279736306,-0.10201008063075338,-0.721320197633922,0.47414037785390156,625.0,0.9085978224870299,0.54,
replogle_rpe1,500,combined - no_graph,50,0,2,2.0,-0.0001316652074456215,-0.0005210116505622864,-0.0036844175192527473,0.003032331423368304,-0.010628422227773321,-0.07515429430572347,0.9403979453408964,601.0,0.7304479390240814,0.5,0.907510621959727
replogle_rpe1,500,string_ppi - no_graph,50,0,2,2.0,0.0030459542386233806,0.0019615795463323593,-0.0018433163431473077,0.009611950700171285,0.14427359734821732,1.0201683903110197,0.3126592356032085,593.0,0.6736344940466168,0.52,0.907510621959727
