condition,pearson_r_left,pearson_r_right,delta_r,n_common_seeds,dataset,hvg,contrast
SAMM50_pDS156,0.8063887059688568,0.8005756735801697,0.005813032388687134,2,adamson,200,combined - random
SEC61A1_pDS031,0.6376335322856903,0.636943519115448,0.0006900131702423096,2,adamson,200,combined - random
SEC61A1_pDS032,0.5707982182502747,0.5696080923080444,0.0011901259422302246,2,adamson,200,combined - random
SEC61B_pDS033,0.4169050455093384,0.41508176922798157,0.0018232762813568115,2,adamson,200,combined - random
SEC61B_pDS162,0.3680642545223236,0.36593998968601227,0.0021242648363113403,2,adamson,200,combined - random
SEL1L_pDS373,0.3585395812988281,0.3635116517543793,-0.0049720704555511475,2,adamson,200,combined - random
SLC39A7_pDS219,0.4420687258243561,0.43991459906101227,0.002154126763343811,2,adamson,200,combined - random
SLMO2_pDS433,0.8457155823707581,0.8432782292366028,0.0024373531341552734,2,adamson,200,combined - random
SOCS1_pDS479,0.4070630967617035,0.405691534280777,0.0013715624809265137,2,adamson,200,combined - random
SPCS2_pDS401,0.4947972297668457,0.4948703199625015,-7.309019565582275e-05,2,adamson,200,combined - random
SRPR_pDS482,-0.20385951548814774,-0.19883491843938828,-0.0050245970487594604,2,adamson,200,combined - random
STT3A_pDS011,0.41107577085494995,0.41200850903987885,-0.000932738184928894,2,adamson,200,combined - random
TIMM23_pDS284,0.7975195646286011,0.794269323348999,0.0032502412796020508,2,adamson,200,combined - random
TMEM167A_pDS038,0.6517910659313202,0.6495846211910248,0.00220644474029541,2,adamson,200,combined - random
TTI2_pDS408,-0.16884858906269073,-0.17269819229841232,0.003849603235721588,2,adamson,200,combined - random
UFL1_pDS410,0.5580255389213562,0.5599002540111542,-0.0018747150897979736,2,adamson,200,combined - random
UFM1_pDS040,0.5507975816726685,0.551334947347641,-0.0005373656749725342,2,adamson,200,combined - random
YIPF5_pDS186,0.5662556290626526,0.5627760887145996,0.0034795403480529785,2,adamson,200,combined - random
AMIGO3_pDS434,0.42068353295326233,0.42711639404296875,-0.006432861089706421,1,adamson,200,string_ppi - random
ARHGAP22_pDS458,0.27581587433815,0.2811649441719055,-0.005349069833755493,1,adamson,200,string_ppi - random
ASCC3_pDS052,0.1927131712436676,0.1864117681980133,0.006301403045654297,1,adamson,200,string_ppi - random
ATP5B_pDS055,0.6740516424179077,0.6737890243530273,0.0002626180648803711,1,adamson,200,string_ppi - random
CAD_pDS468,-0.09539999067783356,-0.09657274186611176,0.0011727511882781982,1,adamson,200,string_ppi - random
CARS_pDS460,0.8523475527763367,0.8491800427436829,0.0031675100326538086,1,adamson,200,string_ppi - random
CCND3_pDS006,-0.126687690615654,-0.11569782346487045,-0.010989867150783539,1,adamson,200,string_ppi - random
DAD1_pDS499,0.4547863006591797,0.45649516582489014,-0.0017088651657104492,1,adamson,200,string_ppi - random
DARS_pDS495,0.746220588684082,0.7389793992042542,0.007241189479827881,1,adamson,200,string_ppi - random
DDRGK1_pDS041,0.5667394399642944,0.5701693892478943,-0.0034299492835998535,1,adamson,200,string_ppi - random
DERL2_pDS042,0.5720006227493286,0.57460618019104,-0.0026055574417114258,1,adamson,200,string_ppi - random
DNAJC19_pDS026,0.8982921838760376,0.8972789645195007,0.0010132193565368652,1,adamson,200,string_ppi - random
EIF2AK3_pBA572,0.5243068933486938,0.5270364880561829,-0.0027295947074890137,1,adamson,200,string_ppi - random
EIF2B4_pDS491,0.8590987324714661,0.8529722690582275,0.006126463413238525,1,adamson,200,string_ppi - random
GMPPB_pDS391,0.22240892052650452,0.22845178842544556,-0.00604286789894104,1,adamson,200,string_ppi - random
GNPNAT1_pDS506,-0.13300977647304535,-0.13533161580562592,0.0023218393325805664,1,adamson,200,string_ppi - random
Gal4-4(mod)_pBA582,0.4397849440574646,0.4444628357887268,-0.004677891731262207,1,adamson,200,string_ppi - random
HARS_pDS466,0.836412787437439,0.8353718519210815,0.0010409355163574219,1,adamson,200,string_ppi - random
HSPA9_pDS088,0.7853803634643555,0.7967010140419006,-0.011320650577545166,1,adamson,200,string_ppi - random
HYOU1_pDS089,0.3307174742221832,0.3286852240562439,0.002032250165939331,1,adamson,200,string_ppi - random
IARS2_pDS090,0.8547354936599731,0.855963408946991,-0.0012279152870178223,1,adamson,200,string_ppi - random
IDH3A_pDS393,0.226455956697464,0.2245590090751648,0.0018969476222991943,1,adamson,200,string_ppi - random
IER3IP1_pDS002,0.5866953134536743,0.5895646810531616,-0.0028693675994873047,1,adamson,200,string_ppi - random
IER3IP1_pDS110,0.5773097276687622,0.573680579662323,0.003629148006439209,1,adamson,200,string_ppi - random
KCTD16_pDS096,0.3648907542228699,0.36835718154907227,-0.0034664273262023926,1,adamson,200,string_ppi - random
MRGBP_pDS124,-0.006543751806020737,-0.01721400022506714,0.010670248419046402,1,adamson,200,string_ppi - random
MTHFD1_pDS395,0.13390862941741943,0.13816256821155548,-0.004253938794136047,1,adamson,200,string_ppi - random
OST4_pDS353,0.49104204773902893,0.49010998010635376,0.0009320676326751709,1,adamson,200,string_ppi - random
P4HB_pDS397,0.16036218404769897,0.16591475903987885,-0.005552574992179871,1,adamson,200,string_ppi - random
PDIA6_pDS029,0.04868747293949127,0.04903186857700348,-0.00034439563751220703,1,adamson,200,string_ppi - random
PSMD4_pDS488,-0.08065754175186157,-0.08184737712144852,0.0011898353695869446,1,adamson,200,string_ppi - random
QARS_pDS510,0.8716440200805664,0.8668956756591797,0.004748344421386719,1,adamson,200,string_ppi - random
SAMM50_pDS156,0.8060927391052246,0.8016525506973267,0.004440188407897949,1,adamson,200,string_ppi - random
SEC61A1_pDS031,0.6390221118927002,0.6370903253555298,0.0019317865371704102,1,adamson,200,string_ppi - random
SEC61A1_pDS032,0.5697859525680542,0.5686306953430176,0.001155257225036621,1,adamson,200,string_ppi - random
SEC61B_pDS033,0.41730302572250366,0.41795802116394043,-0.0006549954414367676,1,adamson,200,string_ppi - random
SEC61B_pDS162,0.3618643581867218,0.36902114748954773,-0.007156789302825928,1,adamson,200,string_ppi - random
SEL1L_pDS373,0.36061638593673706,0.3634617328643799,-0.0028453469276428223,1,adamson,200,string_ppi - random
SLC39A7_pDS219,0.4426482319831848,0.4433530569076538,-0.0007048249244689941,1,adamson,200,string_ppi - random
SLMO2_pDS433,0.8447222113609314,0.8459337949752808,-0.0012115836143493652,1,adamson,200,string_ppi - random
SOCS1_pDS479,0.4069387912750244,0.40695279836654663,-1.4007091522216797e-05,1,adamson,200,string_ppi - random
SPCS2_pDS401,0.4942297339439392,0.49251246452331543,0.0017172694206237793,1,adamson,200,string_ppi - random
SRPR_pDS482,-0.20054122805595398,-0.20432773232460022,0.0037865042686462402,1,adamson,200,string_ppi - random
STT3A_pDS011,0.4071357250213623,0.41396331787109375,-0.006827592849731445,1,adamson,200,string_ppi - random
TIMM23_pDS284,0.7972407341003418,0.7978044748306274,-0.0005637407302856445,1,adamson,200,string_ppi - random
TMEM167A_pDS038,0.6471412181854248,0.6492065787315369,-0.0020653605461120605,1,adamson,200,string_ppi - random
TTI2_pDS408,-0.1668272316455841,-0.1734336018562317,0.006606370210647583,1,adamson,200,string_ppi - random
UFL1_pDS410,0.5570864677429199,0.5582067966461182,-0.0011203289031982422,1,adamson,200,string_ppi - random
UFM1_pDS040,0.5532901287078857,0.5518574714660645,0.001432657241821289,1,adamson,200,string_ppi - random
YIPF5_pDS186,0.558901846408844,0.5643252730369568,-0.005423426628112793,1,adamson,200,string_ppi - random
