dataset,hvg,graph,seed,condition,pearson_r,spearman_rho,mse,jaccard,source_file
adamson,200,combined,42,IER3IP1_pDS110,0.572982668876648,0.595634890872272,0.017957106232643127,0.25,results_merged_3seed/hvg200/adamson__combined__s42f10-20.json
adamson,200,combined,42,KCTD16_pDS096,0.36879846453666687,0.3710102752568815,0.010740194469690323,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s42f30-40.json
adamson,200,combined,42,MRGBP_pDS124,-0.014225661754608154,0.2542578564464112,0.02407684363424778,0.25,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,MTHFD1_pDS395,0.13559335470199585,0.1547738693467337,0.06384974718093872,0.21212121212121213,results_merged_3seed/hvg200/adamson__combined__s42f40-50.json
adamson,200,combined,42,OST4_pDS353,0.4918040931224823,0.5179908940189722,0.008917884901165962,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s42f0-10.json
adamson,200,combined,42,P4HB_pDS397,0.16146951913833618,0.21592289807245185,0.01414160244166851,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s42f30-40.json
adamson,200,combined,42,PDIA6_pDS029,0.049103744328022,0.29447086177154436,0.04359165579080582,0.08108108108108109,results_merged_3seed/hvg200/adamson__combined__s42f30-40.json
adamson,200,combined,42,PSMD4_pDS488,-0.08189075440168381,0.1768132366358921,0.11160297691822052,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s42f30-40.json
adamson,200,combined,42,QARS_pDS510,0.8709264397621155,0.801828545713643,0.09975723922252655,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s42f10-20.json
adamson,200,combined,42,SAMM50_pDS156,0.8066698908805847,0.6671101777544439,0.016867076978087425,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,SEC61A1_pDS031,0.6380682587623596,0.6514557863946598,0.03985042870044708,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s42f0-10.json
adamson,200,combined,42,SEC61A1_pDS032,0.5688291788101196,0.5568934223355584,0.049604009836912155,0.3333333333333333,results_merged_3seed/hvg200/adamson__combined__s42f40-50.json
adamson,200,combined,42,SEC61B_pDS033,0.41687917709350586,0.35018975474386865,0.011497137136757374,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,SEC61B_pDS162,0.36842143535614014,0.301753543838596,0.01341160573065281,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,SEL1L_pDS373,0.36194372177124023,0.37644041101027537,0.026197001338005066,0.17647058823529413,results_merged_3seed/hvg200/adamson__combined__s42f30-40.json
adamson,200,combined,42,SLC39A7_pDS219,0.44251322746276855,0.28710117752943826,0.013270683586597443,0.25,results_merged_3seed/hvg200/adamson__combined__s42f40-50.json
adamson,200,combined,42,SLMO2_pDS433,0.8457680344581604,0.8070741768544214,0.07520776242017746,0.5384615384615384,results_merged_3seed/hvg200/adamson__combined__s42f0-10.json
adamson,200,combined,42,SOCS1_pDS479,0.40671008825302124,0.4805340133503338,0.021176837384700775,0.2903225806451613,results_merged_3seed/hvg200/adamson__combined__s42f10-20.json
adamson,200,combined,42,SPCS2_pDS401,0.4957580864429474,0.46469661741543544,0.009577538818120956,0.14285714285714285,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,SRPR_pDS482,-0.20541423559188843,-0.20300457511437786,0.03041333705186844,0.05263157894736842,results_merged_3seed/hvg200/adamson__combined__s42f0-10.json
adamson,200,combined,42,STT3A_pDS011,0.4117472171783447,0.384852621315533,0.011080149561166763,0.1111111111111111,results_merged_3seed/hvg200/adamson__combined__s42f20-30.json
adamson,200,combined,42,TIMM23_pDS284,0.7974402904510498,0.6879786994674868,0.013586417771875858,0.3793103448275862,results_merged_3seed/hvg200/adamson__combined__s42f0-10.json
adamson,200,combined,42,TMEM167A_pDS038,0.6523363590240479,0.732216579995769,0.01844313181936741,0.25,results_merged_3seed/hvg200/adamson__combined__s42f40-50.json
