dataset,hvg,graph,condition,pearson_r,pearson_seed_sd,n_seeds,spearman_rho,mse,jaccard
norman,200,random,KLF1_COL2A1,0.35993002355098724,0.002222677276494763,2,0.5016665416635416,0.07046391069889069,0.25
norman,200,random,KLF1_TGFBR2,0.30188438296318054,5.913202846078433e-05,2,0.26402610065251636,0.05941112898290157,0.17647058823529413
norman,200,random,LHX1,0.8999611735343933,0.09778102572006224,2,0.43060901522538075,0.8686621263623238,0.3203463203463203
norman,200,random,LHX1_ELMSAN1,0.2755512297153473,5.188277051691055e-05,2,0.45855471386784674,0.20507395267486572,0.3333333333333333
norman,200,random,LYL1_IER5L,0.8286310434341431,0.00012188868589350553,2,0.6835190879771995,0.03122393786907196,0.6666666666666666
norman,200,random,MAP2K3_IKZF3,0.5163005590438843,0.003456210165287354,2,0.5273074326858171,0.2240157648921013,0.2903225806451613
norman,200,random,MAP2K3_MAP2K6,-0.5020045638084412,0.004266525474757803,2,-0.18247506187654694,0.04765905812382698,0.2903225806451613
norman,200,random,MAP2K6,-0.5264719426631927,0.0030506310420670207,2,-0.14482412060301508,0.041751330718398094,0.3333333333333333
norman,200,random,MAP7D1,0.002044165041297674,0.0011879846578979664,2,0.21870546763669096,0.02707734238356352,0.08108108108108109
norman,200,random,MAPK1_IKZF3,0.7622820734977722,0.00328205938724034,2,0.6381752043801096,0.08571237698197365,0.3333333333333333
norman,200,random,MAPK1_PRTG,0.5759909451007843,0.001984315774741402,2,0.4382359558988975,0.024001197889447212,0.25
norman,200,random,OSR2,0.310598224401474,0.0015054432819606239,2,0.46908722718067963,0.07563317567110062,0.08108108108108109
norman,200,random,PTPN1,0.7465072870254517,0.0009238589193587972,2,0.397684692117303,0.03249865025281906,0.48148148148148145
norman,200,random,PTPN12_SNAI1,0.6351134479045868,0.001980859733163509,2,0.493233890810014,0.020898091606795788,0.48148148148148145
norman,200,random,SAMD1_PTPN12,0.7227631211280823,0.0008128441203811023,2,0.6042517078871301,0.0724804550409317,0.40394088669950734
norman,200,random,SET,0.494820311665535,0.00034318071399995465,2,0.2328035700892523,0.054179929196834564,0.3793103448275862
norman,200,random,SET_KLF1,0.405056893825531,0.001716219671363605,2,0.2385907147678692,0.06863752380013466,0.2903225806451613
norman,200,random,SGK1_TBX3,0.4371251165866852,0.001267566468965138,2,0.5962904072601816,0.2145649939775467,0.48148148148148145
norman,200,random,SLC4A1,0.1728876605629921,0.0009066103216057138,2,0.17944048601215035,0.06343396008014679,0.25
norman,200,random,TGFBR2_PRTG,0.6733105480670929,0.001950851177023752,2,0.4394592364809121,0.037755828350782394,0.42857142857142855
norman,200,random,TP73,0.6981095373630524,0.00046079149476960446,2,0.5883739593489838,0.30844439566135406,0.48148148148148145
norman,200,random,UBASH3A,0.701137363910675,0.0055567248013732905,2,0.476077205459122,0.015497606247663498,0.42857142857142855
norman,200,random,UBASH3B,0.6946630775928497,0.0032901937290029425,2,0.42746793669841754,0.01344066858291626,0.48148148148148145
norman,200,random,ZBTB25,0.5414263010025024,0.005638573981181447,2,0.34746193654841373,0.020105241797864437,0.25
norman,200,string_ppi,AHR_FEV,0.7206821143627167,0.001926996060766586,2,0.6872309307732694,0.15784336626529694,0.25
norman,200,string_ppi,ARID1A,0.6678247153759003,0.0028273370386563044,2,0.5884114602865073,0.06345417350530624,0.6
norman,200,string_ppi,BCL2L11,0.0063398657366633415,0.00030887976475716674,2,0.01463511587789695,0.025947920978069305,0.08108108108108109
norman,200,string_ppi,BCORL1,0.4722875505685806,0.00036648792122647903,2,0.4241395125401606,0.020385095849633217,0.2701612903225806
norman,200,string_ppi,C3orf72_FOXL2,0.6313748061656952,0.010366986768770138,2,0.47829595739893505,0.07861208915710449,0.42857142857142855
norman,200,string_ppi,CBL_PTPN12,0.5845491588115692,0.01129202579988724,2,0.3936825920648017,0.07682638615369797,0.19429590017825313
norman,200,string_ppi,CBL_TGFBR2,0.6315243542194366,0.003504721187923393,2,0.40349733743343585,0.039226531982421875,0.2903225806451613
norman,200,string_ppi,CDKN1A,0.9037481248378754,0.025370506195375217,2,0.41835145878646973,0.06981399655342102,0.2727272727272727
norman,200,string_ppi,CDKN1B,0.8099820613861084,0.0015397086697999808,2,0.6623248048639117,0.014683726709336042,0.3793103448275862
norman,200,string_ppi,CDKN1C,0.7390753626823425,0.0008745471066010512,2,0.5762761569039228,0.029816508293151855,0.48148148148148145
norman,200,string_ppi,CDKN1C_CDKN1A,0.4680427610874176,0.0005641777141668275,2,0.4254541363534089,0.22142889350652695,0.3333333333333333
norman,200,string_ppi,CDKN1C_CDKN1B,0.7692756056785583,0.009061488136145195,2,0.5282022050551265,0.047218820080161095,0.3563218390804598
norman,200,string_ppi,CEBPB_PTPN12,0.7119854092597961,0.0003440025775459171,2,0.5685014625365634,0.03531670197844505,0.3333333333333333
norman,200,string_ppi,CSRNP1,-0.3642319291830063,0.0014859082176758246,2,-0.14110402760069002,0.04274026118218899,0.21212121212121213
norman,200,string_ppi,DUSP9_PRTG,0.5924713313579559,0.002728376238352725,2,0.45761644041101035,0.15291692316532135,0.42857142857142855
norman,200,string_ppi,FOSB,0.3284357786178589,0.004315668700121505,2,0.39549088727218185,0.055164067074656487,0.02564102564102564
norman,200,string_ppi,FOXA3,0.645715594291687,0.006056164956227386,2,0.5576711917797945,0.02501926477998495,0.5384615384615384
norman,200,string_ppi,FOXA3_FOXF1,0.6233373582363129,0.0031634160086821735,2,0.5350663766594166,0.05848296172916889,0.2903225806451613
